tick,x,y,robot_id,team
75,-0.25468,-0.14682,1,0
75,-1.49997,-1.12000,2,0
75,1.49997,-0.00000,1,1
75,1.49997,-1.12000,2,1
75,0.21122,0.11784,0,1
76,0.00000,0.00000,-1,-1
76,0.31965,1.04528,0,0
76,-0.24374,-0.14793,1,0
76,-1.49997,-1.12000,2,0
76,1.49997,-0.00000,1,1
76,1.49997,-1.12000,2,1
76,0.20795,0.10568,0,1
77,0.00000,0.00000,-1,-1
77,0.34450,1.04437,0,0
77,-0.23337,-0.14927,1,0
77,-1.49997,-1.12000,2,0
77,1.49997,-0.00000,1,1
77,1.49997,-1.12000,2,1
77,0.20560,0.09323,0,1
78,0.00000,0.00000,-1,-1
78,0.36871,1.04339,0,0
78,-0.22346,-0.15068,1,0
78,-1.49997,-1.12000,2,0
78,1.49997,-0.00000,1,1
78,1.49997,-1.12000,2,1
78,0.20320,0.08121,0,1
79,0.00000,0.00000,-1,-1
79,0.39202,1.04252,0,0
79,-0.21372,-0.15166,1,0
79,-1.49997,-1.12000,2,0
79,1.49997,-0.00000,1,1
79,1.49997,-1.12000,2,1
79,0.20083,0.06931,0,1
80,0.00000,0.00000,-1,-1
80,0.41532,1.04172,0,0
80,-0.20479,-0.15278,1,0
80,-1.49997,-1.12000,2,0
80,1.49997,-0.00000,1,1
80,1.49997,-1.12000,2,1
80,0.19928,0.05700,0,1
81,0.00000,0.00000,-1,-1
81,0.43929,1.04070,0,0
81,-0.19682,-0.15349,1,0
81,-1.49997,-1.12000,2,0
81,1.49997,-0.00000,1,1
81,1.49997,-1.12000,2,1
81,0.19726,0.04409,0,1
82,0.00000,0.00000,-1,-1
82,0.46409,1.03987,0,0
82,-0.18990,-0.15421,1,0
82,-1.49997,-1.12000,2,0
82,1.49997,-0.00000,1,1
82,1.49997,-1.12000,2,1
82,0.19388,0.03053,0,1
83,0.00000,0.00000,-1,-1
83,0.48897,1.03912,0,0
83,-0.18394,-0.15461,1,0
83,-1.49997,-1.12000,2,0
83,1.49997,-0.00000,1,1
83,1.49997,-1.12000,2,1
83,0.18927,0.01649,0,1
84,0.00000,0.00000,-1,-1
84,0.51365,1.03837,0,0
84,-0.17757,-0.15454,1,0
84,-1.49997,-1.12000,2,0
84,1.49997,-0.00000,1,1
84,1.49997,-1.12000,2,1
84,0.18362,0.00190,0,1
85,0.00000,0.00000,-1,-1
85,0.53766,1.03733,0,0
85,-0.17049,-0.15458,1,0
85,-1.49997,-1.12000,2,0
85,1.49997,-0.00000,1,1
85,1.49997,-1.12000,2,1
85,0.17701,-0.01331,0,1
86,0.00000,0.00000,-1,-1
86,0.56065,1.03601,0,0
86,-0.16356,-0.15481,1,0
86,-1.49997,-1.12000,2,0
86,1.49997,-0.00000,1,1
86,1.49997,-1.12000,2,1
86,0.16963,-0.02875,0,1
87,0.00000,0.00000,-1,-1
87,0.58263,1.03436,0,0
87,-0.15701,-0.15524,1,0
87,-1.49997,-1.12000,2,0
87,1.49997,-0.00000,1,1
87,1.49997,-1.12000,2,1
87,0.16194,-0.04399,0,1
88,0.00000,0.00000,-1,-1
88,0.60359,1.03245,0,0
88,-0.15082,-0.15571,1,0
88,-1.49997,-1.12000,2,0
88,1.49997,-0.00000,1,1
88,1.49997,-1.12000,2,1
88,0.15400,-0.05896,0,1
89,0.00000,0.00000,-1,-1
89,0.62353,1.03029,0,0
89,-0.14498,-0.15616,1,0
89,-1.49997,-1.12000,2,0
89,1.49997,-0.00000,1,1
89,1.49997,-1.12000,2,1
89,0.14582,-0.07367,0,1
90,0.00000,0.00000,-1,-1
90,0.64242,1.02793,0,0
90,-0.13949,-0.15658,1,0
90,-1.49997,-1.12000,2,0
90,1.49997,0.00000,1,1
90,1.49997,-1.12000,2,1
90,0.13738,-0.08807,0,1
91,0.00000,0.00000,-1,-1
91,0.67702,1.02298,0,0
91,-0.13000,-0.15754,1,0
91,-1.49997,-1.12000,2,0
91,1.49997,0.00000,1,1
91,1.49997,-1.12000,2,1
91,0.11921,-0.11531,0,1
92,0.00000,0.00000,-1,-1
92,0.69272,1.02036,0,0
92,-0.12570,-0.15804,1,0
92,-1.49997,-1.12000,2,0
92,1.49997,0.00000,1,1
92,1.49997,-1.12000,2,1
92,0.11065,-0.12789,0,1
93,0.00000,0.00000,-1,-1
93,0.70741,1.01777,0,0
93,-0.12128,-0.15829,1,0
93,-1.49997,-1.12000,2,0
93,1.49997,0.00000,1,1
93,1.49997,-1.12000,2,1
93,0.10270,-0.14015,0,1
94,0.00000,0.00000,-1,-1
94,0.72105,1.01506,0,0
